,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Aberdeen,1,US,1554065605,52,45.47,-98.49,51.01,12.75
1,Viedma,8,AR,1554065738,37,-40.81,-62.99,85.79,9.62
2,Albany,75,US,1554065822,60,42.65,-73.75,46.0,23.04
3,Carnarvon,8,ZA,1554065842,27,-30.97,22.13,64.46,12.19
4,Nago,0,IT,1554065819,63,45.88,10.89,59.0,5.82
5,Urucara,24,BR,1554065845,72,-2.54,-57.76,86.24,2.8
6,Hobart,20,AU,1554065715,70,-42.88,147.33,46.4,5.82
7,San Juan,20,PH,1554065378,69,14.6,121.03,80.6,6.93
8,Kapaa,75,US,1554065611,65,22.08,-159.32,78.8,12.75
9,Santo Domingo,40,DO,1554065601,58,18.48,-69.94,87.8,11.41
10,Nosy Varika,88,MG,1554065853,100,-20.58,48.53,74.81,1.45
11,Rikitea,68,PF,1554065854,100,-23.12,-134.97,76.88,18.57
12,Castro,90,CL,1554062400,100,-42.48,-73.76,57.2,5.82
13,Tayshet,12,RU,1554065857,83,55.94,98.01,26.39,3.69
14,Barrow,48,AR,1554065859,34,-38.31,-60.23,82.28,7.16
15,Coquimbo,20,CL,1554062400,72,-29.95,-71.34,66.2,14.99
16,Egvekinot,92,RU,1554065308,95,66.32,-179.17,27.65,3.24
17,Avarua,92,CK,1554064200,88,-21.21,-159.78,82.4,6.93
18,Souillac,0,FR,1554065734,42,45.6,-0.6,62.6,6.93
19,Saint-Philippe,90,CA,1554065843,80,45.36,-73.48,36.0,8.05
20,Hithadhoo,0,MV,1554065867,100,-0.6,73.08,83.18,4.92
21,Atuona,92,PF,1554065868,100,-9.8,-139.03,81.38,10.96
22,Ushuaia,75,AR,1554062400,81,-54.81,-68.31,51.8,16.11
23,Saskylakh,56,RU,1554065871,85,71.97,114.09,21.53,15.43
24,Padang,8,ID,1554065872,100,-0.92,100.36,82.37,1.9
25,Kampot,40,KH,1554064200,94,10.62,104.18,78.8,2.24
26,Kruisfontein,68,ZA,1554065875,89,-34.0,24.73,59.69,7.38
27,Mehamn,90,NO,1554063720,92,71.03,27.85,28.4,35.57
28,Namatanai,64,PG,1554065877,100,-3.66,152.44,80.75,12.3
29,Tasiilaq,68,GL,1554061800,85,65.61,-37.64,23.0,32.21
30,Eagle Pass,1,MX,1554064500,37,28.71,-100.5,59.0,4.36
31,Busselton,44,AU,1554065704,41,-33.64,115.35,71.01,15.21
32,Nanortalik,20,GL,1554065882,100,60.14,-45.24,27.2,26.17
33,Mar del Plata,0,AR,1554065628,28,-46.43,-67.52,75.35,11.63
34,Meulaboh,92,ID,1554065311,100,4.14,96.13,78.95,1.34
35,Tevaitoa,0,PF,1554065886,100,-16.78,-151.5,83.99,4.7
36,San Cristobal,75,EC,1554065184,68,-0.39,-78.55,68.0,9.17
37,Faanui,36,PF,1554065876,100,-16.48,-151.75,83.63,5.93
38,Mataura,20,NZ,1554065406,75,-46.19,168.86,55.0,8.01
39,Jamestown,8,AU,1554065891,82,-33.21,138.6,38.36,2.68
40,Khandyga,0,RU,1554065892,60,62.65,135.58,1.01,2.57
41,Nikolskoye,75,RU,1554065777,85,59.7,30.79,34.0,17.9
42,Puerto Leguizamo,76,CO,1554065895,77,-0.19,-74.78,83.54,1.9
