Day,Jan Temp,Feb Temp,Mar Temp,Apr Temp,May Temp ,Jun Temp,Jul Temp,Aug Temp,Sep Temp,Oct Temp,Nov Temp,Dec Temp,,,,,,
1,32,45,48,57,64,74,70,77,71,63,58,43,,,,,,
2,31,37,31,42,59,77,64,77,67,62,69,38,,,,,,
3,31,52,26,39,56,75,65,77,68,60,59,38,,,,,,
4,20,35,31,41,56,74,69,78,68,62,48,37,,,,,,
5,17,31,35,33,57,71,78,77,71,62,49,38,,,,,,
6,26,34,36,48,60,72,78,74,75,63,53,38,,,,,,
7,32,36,48,44,59,64,78,72,79,63,53,39,,,,,,
8,32,37,61,39,56,58,77,75,81,55,51,30,,,,,,
9,47,28,61,30,52,61,75,77,76,52,47,26,,,,,,
10,34,19,60,35,60,69,73,81,78,51,48,26,,,,,,
11,18,13,48,57,66,80,74,82,67,50,47,29,,,,,,
12,22,12,50,43,67,70,77,83,65,59,38,37,,,,,,
13,11,9,55,43,63,64,81,83,71,53,43,30,,,,,,
14,31,9,62,52,50,69,79,76,70,47,43,24,,,,,,
15,43,27,55,58,44,76,78,75,66,56,46,13,,,,,,
16,36,33,59,58,49,73,75,80,68,68,48,14,,,,,,
17,20,29,51,63,57,74,74,73,72,70,47,42,,,,,,
18,9,22,48,65,53,74,81,76,72,71,57,42,,,,,,
19,12,42,36,63,56,74,77,75,73,69,47,21,,,,,,
20,12,58,35,60,58,76,72,78,72,70,32,25,,,,,,
21,16,45,35,66,55,75,75,70,72,53,32,32,,,,,,
22,17,39,44,62,59,72,79,68,73,45,31,38,,,,,,
23,21,43,61,54,64,70,82,69,74,53,34,35,,,,,,
24,18,51,63,54,66,75,80,73,66,53,46,43,,,,,,
25,30,43,47,61,71,75,82,80,63,47,42,35,,,,,,
26,41,27,46,63,75,79,80,78,65,40,41,50,,,,,,
27,27,34,55,56,77,81,80,77,62,53,39,51,,,,,,
28,32,49,50,51,77,72,72,80,62,48,41,36,,,,,,
29,28,48,44,52,73,64,75,77,62,59,56,35,,,,,,
30,36,,49,56,72,68,74,74,61,59,54,28,,,,,,
31,55,,67,,73,,75,73,,46,,33,,,,,,
