Day,Jan Temp,Feb Temp,Mar Temp,Apr Temp,May Temp ,Jun Temp,Jul Temp,Aug Temp,Sep Temp,Oct Temp,Nov Temp,Dec Temp,,,,,
1,37,36,50,41,69,63,77,73,58,54,39,39,,,,,
2,40,28,35,45,55,64,76,75,60,59,58,36,,,,,
3,45,22,26,58,52,68,74,75,66,62,53,43,,,,,
4,29,22,26,56,57,71,76,73,69,65,49,45,,,,,
5,20,35,32,59,60,67,77,66,68,68,61,45,,,,,
6,11,40,47,46,45,59,74,68,61,67,49,38,,,,,
7,11,52,51,35,50,60,73,67,57,73,37,32,,,,,
8,12,43,48,44,47,61,72,67,60,70,41,26,,,,,
9,16,24,46,53,50,64,66,68,58,73,40,29,,,,,
10,37,23,27,68,59,74,69,69,58,72,31,31,,,,,
11,48,44,21,62,54,75,74,73,60,70,27,36,,,,,
12,51,46,22,56,54,77,79,71,64,64,36,30,,,,,
13,32,33,30,51,59,81,76,69,69,66,41,21,,,,,
14,31,38,25,60,61,77,77,71,65,65,37,25,,,,,
15,29,35,21,66,56,77,72,75,66,65,37,22,,,,,
16,31,23,29,70,63,75,71,77,70,49,43,37,,,,,
17,50,36,30,61,75,75,75,77,71,49,37,38,,,,,
18,44,56,39,58,77,80,77,77,71,55,47,41,,,,,
19,37,55,37,65,71,71,79,74,73,56,40,50,,,,,
20,44,48,42,68,64,68,80,71,74,60,36,38,,,,,
21,51,55,47,59,68,71,80,76,74,59,44,35,,,,,
22,55,59,31,49,59,74,75,76,74,63,38,49,,,,,
23,42,62,33,54,60,72,75,70,74,61,31,44,,,,,
24,38,66,56,55,62,72,73,66,75,52,40,33,,,,,
25,45,47,67,58,62,67,69,62,77,42,50,25,,,,,
26,42,33,61,63,62,64,68,63,77,45,39,17,,,,,
27,30,39,61,69,64,62,73,68,78,55,43,10,,,,,
28,30,46,52,60,68,62,73,69,62,48,50,8,,,,,
29,30,,53,64,70,72,68,69,59,40,46,15,,,,,
30,25,,50,73,69,75,73,67,55,42,47,13,,,,,
31,31,,49,,65,,73,67,,38,,7,,,,,
