Day,Jan Temp,Feb Temp,Mar Temp,Apr Temp,May Temp ,Jun Temp,Jul Temp,Aug Temp,Sep Temp,Oct Temp,Nov Temp,Dec Temp,,,,,,
1,5,36,45,42,61,73,80,72,79,79,67,40,,,,,,
2,10,19,35,37,68,74,81,71,81,81,70,54,,,,,,
3,10,22,34,47,75,73,79,72,82,82,68,41,,,,,,
4,11,32,33,45,70,64,82,75,82,82,65,32,,,,,,
5,4,20,32,37,60,61,78,75,83,83,59,30,,,,,,
6,4,25,40,44,61,54,72,78,80,80,73,31,,,,,,
7,12,25,35,33,64,62,68,77,79,79,74,25,,,,,,
8,31,20,29,33,64,71,69,74,64,64,75,22,,,,,,
9,31,28,27,32,69,73,71,75,58,58,74,26,,,,,,
10,34,41,29,34,70,71,77,73,67,67,73,22,,,,,,
11,52,44,30,45,60,65,72,73,64,64,61,28,,,,,,
12,40,29,35,62,67,68,71,72,67,67,48,33,,,,,,
13,14,29,31,74,66,74,73,71,74,74,43,39,,,,,,
14,6,45,26,68,70,69,77,70,75,75,48,42,,,,,,
15,15,56,36,61,71,68,81,74,74,74,54,44,,,,,,
16,17,45,30,40,69,70,79,72,73,73,43,40,,,,,,
17,7,30,29,34,72,79,75,71,69,69,48,36,,,,,,
18,17,36,37,42,69,82,69,74,74,74,42,31,,,,,,
19,31,49,41,39,68,76,70,69,72,72,45,33,,,,,,
20,41,52,35,40,68,76,75,72,71,71,48,37,,,,,,
21,46,58,29,43,70,72,71,74,77,77,36,42,,,,,,
22,54,41,29,57,71,69,70,65,62,62,43,34,,,,,,
23,45,53,29,61,66,71,73,64,60,60,48,36,,,,,,
24,31,53,32,54,67,73,77,65,62,62,40,31,,,,,,
25,27,52,32,50,70,71,74,69,66,66,38,28,,,,,,
26,39,43,40,50,75,69,72,74,63,63,44,37,,,,,,
27,46,42,44,55,75,72,72,80,57,57,44,38,,,,,,
28,38,51,53,50,76,75,69,83,62,62,45,51,,,,,,
29,35,,53,41,80,75,69,82,57,57,44,37,,,,,,
30,19,,37,51,78,78,70,78,61,61,46,35,,,,,,
31,26,,42,,77,,71,74,,,57,45,,,,,,
