,Age,Gender,Race,Offenses Severity,Arrest Day of Week,Arrest Date,Arrest Month,Arrest Year,Temperature,Weather Condition,Incident Location,Incident Latitude,Incident Longitude,Incident Neighborhood,Incident Zone
0,24.0,F,B,M,Friday,12,February,2016,20.53,Mostly Cloudy,"1100 Block McKinney LANE Pittsburgh, PA 15205",40.42352927,-80.03503378,Ridgemont,6
1,31.0,M,W,M,Wednesday,17,February,2016,32.76,Overcast,"800 Block Concord ST Pittsburgh, PA 15212",40.45756351,-79.99792377,East Allegheny,1
2,22.0,M,W,F,Monday,04,April,2016,50.96,Light Rain,"S 15th ST & E Carson ST Pittsburgh, PA 15203",40.42881518,-79.98342493,South Side Flats,3
3,36.0,M,W,M,Friday,08,April,2016,39.39,Overcast,"Boyd ST & Diamond ST Pittsburgh, PA 15219",40.43865608,-79.99329301,Bluff,2
4,60.0,M,W,M,Sunday,10,April,2016,32.63,Overcast,"Forbes AV & Armstrong TUN Pittsburgh, PA 15219",40.43797104,-79.99205197,Bluff,2
5,54.0,M,B,M,Tuesday,12,April,2016,47.32,Clear,"1600 Block Forbes AV Pittsburgh, PA 15219",40.43737728,-79.98386974,Bluff,2
6,20.0,M,B,F,Tuesday,12,April,2016,47.32,Clear,"400 Block Wood ST Pittsburgh, PA 15219",40.43937546,-80.00122331,Central Business District,2
7,29.0,M,W,F,Wednesday,13,April,2016,48.68,Clear,"1000 Block Fort Duquesne BL Pittsburgh, PA 15222",40.44551089,-79.99524489,Central Business District,2
8,27.0,F,W,F,Wednesday,13,April,2016,48.68,Clear,"1000 Block Fort Duquesne BL Pittsburgh, PA 15222",40.44551089,-79.99524489,Central Business District,2
9,31.0,M,W,F,Wednesday,13,April,2016,48.68,Clear,"1000 Block Fort Duquesne BL Pittsburgh, PA 15222",40.44551089,-79.99524489,Central Business District,2
10,52.0,M,B,M,Wednesday,13,April,2016,48.68,Clear,"3000 Block Wadlow ST Pittsburgh, PA 15212",40.47198755,-80.02928181,Marshall-Shadeland,1
11,36.0,F,W,F,Sunday,24,April,2016,61.07,Clear,"800 Block Monteiro ST Pittsburgh, PA 15217",40.42649286,-79.93588071,Greenfield,4
12,28.0,M,B,F,Thursday,07,July,2016,75.49,Overcast,"100 Block Penfort ST Pittsburgh, PA 15214",40.473349600000006,-80.00282222,Northview Heights,1
13,24.0,M,B,M,Thursday,07,July,2016,75.49,Overcast,"100 Block Penfort ST Pittsburgh, PA 15214",40.473349600000006,-80.00282222,Northview Heights,1
14,25.0,M,W,M,Saturday,09,July,2016,81.09,Mostly Cloudy,"300 Block Bigham ST Pittsburgh, PA 15211",40.43298573,-80.01542254,Mount Washington,3
15,39.0,F,U,M,Monday,11,July,2016,82.07,Clear,"2600 Block Brownsville RD Pittsburgh, PA 15227",40.38544231,-79.97880106,Carrick,3
16,35.0,M,W,M,Saturday,16,July,2016,78.5,Partly Cloudy,"Elba ST & Junilla ST Pittsburgh, PA 15219",40.44627028,-79.97072972,Middle Hill,2
