18 Pa.C.S. §  ,DESCRIPTION,STATUTORY CLASS,§  303.3 OFFENSE GRAVITY SCORE,§  303.7
,,,,PRIOR RECORD SCORE POINTS
901,Criminal attempt (Inchoate),18 Pa.C.S. §  905,See §  303.3(c),See §  303.8(b)
902,Criminal solicitation (Inchoate),18 Pa.C.S. §  905,See §  303.3(c),See §  303.8(b)
903,Criminal conspiracy (Inchoate),18 Pa.C.S. §  905,See §  303.3(c),See §  303.8(b)
907(a),Possessing instruments of crime (criminal instruments),M-1,3,m
907(b),Possessing instruments of crime (weapon),M-1,4,1
907(c),Possessing instruments of crime (unlawful body armor),F-3,5,1
908(a),Prohibited offensive weapons,M-1,4,1
908.1(a)(1),Use electric incapacitation device (intent to commit felony),F-2,8,2
908.1(a)(1),Use electric incapacitation device (no intent,M-1,5,1
,to commit felony),,,
908.1(a)(2),Possess electric incapacitation device (intent to commit felony),F-2,7,2
908.1(a)(2),Possess electric incapacitation device (no intent to commit felony),M-1,4,1
909(a),Manufacture/etc.-master key for motor,M-1,3,m
,vehicle,,,
910(a)(1)(i),Manufacture/etc.-device for theft of telecommunications (›50 devices),F-2,8,2
910(a)(1)(i),Manufacture/etc.-device for theft of telecommunications (10-50 devices),F-3,6,1
910(a)(1)(i),Manufacture/etc.-device for theft of telecommunications (1st off),M-1,4,m
910(a)(1)(i),Manufacture/etc.-device for theft of telecommunications (2nd off),F-3,6,1
910(a)(1)(i),Manufacture/etc.-device for theft of telecommunications (3rd/subsq off),F-2,8,2
910(a)(1)(ii),Manufacture/etc.-device to conceal telecommunications (›50 devices),F-2,8,2
910(a)(1)(ii),Manufacture/etc.-device to conceal telecommunications (10-50 devices),F-3,6,1
910(a)(1)(ii),Manufacture/etc.-device to conceal telecommunications (1st off),M-1,4,m
910(a)(1)(ii),Manufacture/etc.-device to conceal telecommunications (2nd off),F-3,6,1
910(a)(1)(ii),Manufacture/etc.-device to conceal telecommunications (3rd/subsq off),F-2,8,2
910(a)(2)(i),Sell/etc. unlawful telecommunications device,F-2,8,2
,(›50 devices),,,
910(a)(2)(i),Sell/etc. unlawful telecommunications device (10-50 devices),F-3,6,1
910(a)(2)(i),Sell/etc. unlawful telecommunications device,M-1,4,m
,(1st off),,,
910(a)(2)(i),Sell/etc. unlawful telecommunications device,F-3,6,1
,(2nd off),,,
910(a)(2)(i),Sell/etc. unlawful telecommunications device (3rd/subsq off),F-2,8,2
910(a)(2)(ii),Sell/etc. material for unlawful telecommunications device (›50 devices),F-2,8,2
910(a)(2)(ii),Sell/etc. material for unlawful telecommunications device (10-50 devices),F-3,6,1
910(a)(2)(ii),Sell/etc. material for unlawful telecommunications device (1st off),M-1,4,m
910(a)(2)(ii),Sell/etc. material for unlawful telecommunications device (2nd off),F-3,6,1
910(a)(2)(ii),Sell/etc. material for unlawful telecommunications device (3rd/subsq),F-2,8,2
911(b)(1),Corrupt organizations,F-1,8,3
911(b)(2),Corrupt organizations-interest in/control of enterprise,F-1,8,3
911(b)(3),Corrupt organizations-employee participation,F-1,8,3
911(b)(4),Corrupt organizations-conspire,F-1,8,3
912(b),Possession of weapon on school property,M-1,4,1
913(a)(1),Possession of weapon in court facility,M-3,1,m
913(a)(2),Possession of weapon in court facility (intend for crime),M-1,3,1
2102(a)(1),Desecration of flag (marks or writing),M-3,1,m
2102(a)(2),Desecration of flag (public view of defiled flag),M-3,1,m
2102(a)(3),Desecration of flag (manufactures for advertisement),M-3,1,m
2102(a)(4),Desecration of flag (defile/mutilate),M-3,1,m
2103,Insults to national or Commonwealth flag,M-2,2,m
2502 Inchoate,—Attempt/solicitation/conspiracy to Murder (SBI),18 Pa.C.S. §  1102(c),14,4
2502 Inchoate,—Attempt/solicitation/conspiracy to Murder (No SBI),18 Pa.C.S. §  1102(c),13,4
2502(a),Murder-1st degree,Murder of 1st Degree,18 Pa.C.S. §  1102(a),4
2502(a),Murder-1st degree (offender 15-‹18 yrs),Murder of 1st Degree,15,4
2502(a),Murder-1st degree (offender ‹15 yrs),Murder of 1st Degree,15,4
2502(b),Murder-2nd degree,Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
2502(b),Murder-2nd degree (offender 15-‹18 yrs),Murder of 2nd Degree,15,4
2502(b),Murder-2nd degree (offender ‹15 yrs),Murder of 2nd Degree,15,4
2502(c),Murder-3rd degree,F-1,14,4
2502(c),Murder-3rd degree (victim ‹13 yrs),F-1,14,4
2503(a)(1),Voluntary manslaughter (provocation from victim),F-1,11,4
2503(a)(2),Voluntary manslaughter (provocation from another),F-1,11,4
2503(b),Voluntary manslaughter (believe justified),F-1,11,4
2504(a),Involuntary manslaughter (victim ‹12 yrs),F-2,8,2
2504(a)*,Involuntary manslaughter (with DUI conviction),M-1,8,1
2504(a)*,Involuntary manslaughter (with BUI conviction),M-1,8,1
2504(a)*,Involuntary manslaughter,M-1,6,1
2505(a),"Suicide, causing (as homicide/murder 1)",Murder of 1st Degree,18 Pa.C.S. §  1102(a),4
2505(a),"Suicide, causing (as homicide/murder 2)",Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
2505(a),"Suicide, causing (as homicide/murder 3)",F-1,14,4
2505(a),"Suicide, causing (as homicide/vol manslaughter)",F-1,11,4
2505(a),"Suicide, causing (as homicide/invol. manslaughter)",M-1,6,1
2505(a),"Suicide, causing (as homicide/invol. manslaughter-victim ‹12 yrs)",F-2,8,2
2505(a),"Suicide, causing (as homicide/invol. manslaughter-w/ DUI or BUI conv)",M-1,8,1
2505(b),"Suicide, aiding or soliciting (positive result)",F-2,6,2
2505(b),"Suicide, aiding or soliciting (no result)",M-2,2,m
2506(a),Drug delivery resulting in death,F-1,13,4
2507 Inchoate,—Attempt/solicitation/conspiracy to Murder of law enforcement officer (SBI),18 Pa.C.S. §  1102(c),14,4
2507 Inchoate,—Attempt/solicitation/conspiracy to Murder of law enforcement officer (No SBI),18 Pa.C.S. §  1102(c),13,4
2507(a),Murder of law enforcement officer-1st degree,Murder of 1st Degree,18 Pa.C.S. §  1102(a),4
2507(a),Murder of law enforcement officer-1st degree (offender 15-‹18 yrs.),Murder of 1st Degree,15,4
2507(a),Murder of law enforcement officer-1st degree (offender ‹15 yrs.),Murder of 1st Degree,15,4
2507(b),Murder of law enforcement officer-2nd,Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
,degree,,,
2507(b),Murder of law enforcement officer-2nd,Murder of 2nd Degree,15,4
,degree (offender 15-‹18 yrs.),,,
2507(b),Murder of law enforcement officer-2nd,Murder of 2nd Degree,15,4
,degree (offender ‹15 yrs.),,,
2507(c)(1)(i),Manslaughter of law enforcement officer (1st degree/provocation by victim),F-1,14,4
2507(c)(1)(ii),Manslaughter of law enforcement officer (1st degree/provocation by another),F-1,14,4
2507(c)(2),Manslaughter of law enforcement officer (1st degree/believe justified),F-1,14,4
2507(d),Manslaughter of law enforcement officer (2nd degree),F-2,9,4
2604 Inchoate,—Attempt/solicitation/conspiracy to Murder of unborn child (SBI),18 Pa.C.S. §  1102(c),14,4
2604 Inchoate,—Attempt/solicitation/conspiracy to Murder of unborn child (No SBI),18 Pa.C.S. §  1102(c),13,4
2604(a)(1),Murder of unborn child-1st degree,Murder of 1st Degree,18 Pa.C.S. §  1102(a),4
2604(a)(1),Murder of unborn child-1st degree (offender 15-‹18 yrs.),Murder of 1st Degree,15,4
2604(a)(1),Murder of unborn child-1st degree (offender,Murder of 1st Degree,15,4
,‹15 yrs.),,,
2604(b)(1),Murder of unborn child-2nd degree,Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
2604(b)(1),Murder of unborn child-2nd degree (offender 15-‹18 yrs.),Murder of 2nd Degree,15,4
2604(b)(1),Murder of unborn child-2nd degree (offender,Murder of 2nd Degree,15,4
,‹15 yrs.),,,
2604(c)(1),Murder of unborn child-3rd degree,F-1,14,4
2605(a)(1),Voluntary manslaughter of unborn child (provocation from mother),F-1,11,4
2605(a)(2),Voluntary manslaughter of unborn child (provocation from another),F-1,11,4
2605(b),Voluntary manslaughter of unborn child (believe justified),F-1,11,4
2606(a)*,Aggravated assault of unborn child (causes SBI),F-1,11,4
2606(a)*,Aggravated assault of unborn child (attempts to cause SBI),F-1,10,3
2701(a)(1),Simple assault-attempt/cause BI,M-2,3,m
2701(a)(1),Simple assault-attempt/cause BI (against child ‹12 by adult ›=18),M-1,4,1
2701(a)(1),Simple assault-attempt/cause BI (mutual consent),M-3,1,m
2701(a)(2),Simple assault-cause BI w/ deadly weapon,M-2,3,m
2701(a)(2),Simple assault-cause BI w/ deadly weapon (against child ‹12 by adult ›=18),M-1,4,1
2701(a)(2),Simple assault-cause BI w/ deadly weapon (mutual consent),M-3,1,m
2701(a)(3),Simple assault-cause fear of SBI,M-2,3,m
2701(a)(3),Simple assault-cause fear of SBI (against child ‹12 by adult ›=18),M-1,4,1
2701(a)(3),Simple assault-cause fear of SBI (mutual consent),M-3,1,m
2701(a)(4),Simple assault-penetrate w/ hypodermic needle,M-2,3,m
2701(a)(4),Simple assault-penetrate w/ hypodermic needle (against child ‹12 by adult ›=18),M-1,4,1
2701(a)(4),Simple assault-penetrate w/ hypodermic needle (mutual consent),M-3,1,m
2702(a)(1)*,Aggravated assault-cause SBI,F-1,11,4
2702(a)(1)*,Aggravated assault-attempt SBI,F-1,10,3
2702(a)(2)*,Aggravated assault-cause SBI to police/enumerated persons,F-1,11,4
2702(a)(2)*,Aggravated assault-attempt SBI to police/enumerated persons,F-1,10,3
2702(a)(3),Aggravated assault-attempt/cause BI to police/enumerated persons,F-2,6,2
2702(a)(4),Aggravated assault-attempt/cause BI w/ deadly weapon,F-2,8,2
2702(a)(5),"Aggravated assault-attempt/cause BI to teacher, etc",F-2,6,2
2702(a)(6),Aggravated assault-cause fear of SBI,F-2,6,2
2702(a)(7),"Aggravated assault-use tear gas/electronic device ag. police, etc.",F-2,6,2
2702(a)(8),Aggravated assault-attempt/cause BI (against child ‹6 by person ›=18),F-2,7,2
2702(a)(9)*,Aggravated assault-cause SBI (against child,F-1,12,4
,‹13 by person ›=18),,,
2702(a)(9)*,Aggravated assault-attempt SBI (against child ‹13 by person ›=18),F-1,11,4
2702.1(a),Assault of law enforcement officer-discharge firearm (1st degree),F-1,13,4
2703(a),Assault by prisoner,F-2,7,2
2703.1,Aggravated harassment by prisoner,F-3,6,1
2704,Assault by life prisoner,Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
2704 Inchoate,—Attempt/solicitation/conspiracy to assault,18 Pa.C.S. §  1102(c),14,4
,by life prisoner (SBI),,,
2704 Inchoate,—Attempt/solicitation/conspiracy to assault,18 Pa.C.S. §  1102(c),13,4
,by life prisoner (No SBI),,,
2705,Recklessly endangering another person,M-2,3,m
2706(a)(1),Terroristic threats-intent to terrorize,M-1,3,m
2706(a)(1),Terroristic threats-intent to terrorize/divert from activities,F-3,5,1
