35 P. S. §  780-113 ,DESCRIPTION ,STATUTORY CLASS ,§  303.3 OFFENSE GRAVITY SCORE ,§  303.7
,,,,PRIOR
,,,,RECORD SCORE
,,,,POINTS 
(a)(1) ,Manufacture/sale/delivery-adulterated,M ,4 ,m 
,controlled substance (1st off) ,,,
(a)(1) ,Manufacture/sale/delivery-adulterated,M ,4 ,m 
,controlled substance (2nd/subsq off) ,,,
(a)(2) ,Adulterate/misbrand-controlled substance (1st off) ,M ,4 ,m 
(a)(2) ,Adulterate/misbrand-controlled substance (2nd/subsq off) ,M ,4 ,m 
(a)(3) ,False/misleading advertisement (1st off) ,M ,4 ,m 
(a)(3) ,False/misleading advertisement (2nd/subsq off) ,M ,4 ,m
(a)(4) ,Removal/disposal-detained substance (1st off) ,M ,5 ,m 
(a)(4) ,Removal/disposal-detained substance (2nd/subsq off) ,M ,5 ,m 
(a)(5) ,Adulterate/destroy label-controlled substance for sale (1st off) ,M ,4 ,m
(a)(5) ,Adulterate/destroy label-controlled substance for sale (2nd/subsq off) ,M ,4 ,m 
(a)(6) ,Forge/counterfeit w/ mark/ID symbol (1st off) ,M ,5 ,m 
(a)(6) ,Forge/counterfeit w/ mark/ID symbol (2nd/subsq off) ,M ,5 ,m 
(a)(7) ,Place trademark on controlled substance to defraud (1st off) ,M ,5 ,m 
(a)(7) ,Place trademark on controlled substance to defraud (2nd/subsq off) ,M ,5 ,m
(a)(8) ,Selling controlled substance w/ defrauded trademark (1st off) ,M ,5 ,m 
(a)(8) ,Selling controlled substance w/ defrauded trademark (2nd/subsq off) ,M ,5 ,m 
(a)(9) ,Selling trademark equipment to defraud (1st off) ,M ,5 ,m 
(a)(9) ,Selling trademark equipment to defraud (2nd/subsq off) ,M ,5 ,m 
(a)(10) ,Illegal sale of nonproprietary drug (1st off) ,M ,4 ,m 
(a)(10) ,Illegal sale of nonproprietary drug (2nd/subsq off) ,M ,4 ,m
(a)(11) ,Illegal pharmacy operations (1st off) ,M ,5 ,m
(a)(11) ,Illegal pharmacy operations (2nd/subsq off) ,M ,5 ,m 
(a)(12)* ,Acquisition of controlled substance by fraud-heroin (›1000 g) ,F ,13 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-heroin (100-1000 g) ,F ,11 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-heroin (50-‹100 g) ,F ,10 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-heroin (10-‹50 g) ,F ,8 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-heroin (1-‹10 g) ,F ,7 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-heroin (‹1 g) ,F ,6 ,2 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (›1000 g) ",F ,13 ,3
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (›1000 pills) ",F ,13 ,3 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (100-1000 g) ",F ,11 ,3 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (100-1000 pills) ",F ,11 ,3 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (50-‹100 g) ",F ,10 ,3 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (50-‹100 pills) ",F ,10 ,2 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (10-‹50 g) ",F ,8 ,2 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (10-‹50 pills) ",F ,8 ,2 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (1-‹10 g) ",F ,7 ,2 
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (1-‹10 pills) ",F ,7 ,2
(a)(12)* ,"Acquisition of controlled substance by fraud-other narcotics, Sched I & II (‹1 g) ",F ,6 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-cocaine (›1000 g) ,F ,13 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-cocaine (100-1000 g) ,F ,11 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-cocaine (50-‹100 g) ,F ,10 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-cocaine (10-‹50 g) ,F ,8 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-cocaine (5-‹10 g) ,F ,7 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-cocaine (2-‹5 g) ,F ,6 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-cocaine (‹2 g) ,F ,5 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-methamphetamine (›1000 g) ,F ,13 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-methamphetamine (100-1000 g) ,F ,11 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-methamphetamine (50-‹100 g) ,F ,10 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-methamphetamine (10-‹50 g) ,F ,8 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-methamphetamine (2.5-‹10 g) ,F ,7 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-methamphetamine (‹2.5 g) ,F ,6 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-PCP (›1000 g) ,F ,13 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-PCP (100-1000 g) ,F ,11 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-PCP (50-‹100 g) ,F ,10 ,3
(a)(12)* ,Acquisition of controlled substance by fraud-PCP (10-‹50 g) ,F ,8 ,2
(a)(12)* ,Acquisition of controlled substance by fraud-PCP (2.5-‹10 g) ,F ,7 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-PCP (‹2.5 g) ,F ,6 ,2
(a)(12)* ,Acquisition of controlled substance by fraud-MDMA (›1000 g) ,F ,13 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-MDMA (100-1000 g) ,F ,11 ,3
(a)(12)* ,Acquisition of controlled substance by fraud-MDMA (50-‹100 g) ,F ,10 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-MDMA (10-‹50 g) ,F ,8 ,2
(a)(12)* ,Acquisition of controlled substance by fraud-MDMA (2.5-‹10 g) ,F ,7 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-MDMA (‹2.5 g) ,F ,6 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (›1000 lbs.) ,F ,10 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (›5000 plants) ,F ,10 ,3 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (50-1000 lbs.) ,F ,8 ,2
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (51-5000 plants) ,F ,8 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (10-‹50 lbs.) ,F ,7 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (21-‹51 plants) ,F ,7 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (1-‹10 lbs.) ,F ,5 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (10-‹21 plants) ,F ,5 ,2
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (‹1 lb.) ,F ,3 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-marijuana (‹10 plants) ,F ,3 ,2
(a)(12)* ,Acquisition of controlled substance by fraud-Sched I ,F ,5 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-Sched II ,F ,5 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-Sched III ,F ,5 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-Sched IV ,F ,5 ,2 
(a)(12)* ,Acquisition of controlled substance by fraud-Sched V ,M ,3 ,m
(a)(13) ,Dispense drugs to dependent person (1st off) ,M ,4 ,m 
(a)(13) ,Dispense drugs to dependent person (2nd/,M ,4 ,m 
,subsq off) ,,,
(a)(14)* ,Delivery by practitioner-heroin (›1000 g) ,F ,13 ,3 
(a)(14)* ,Delivery by practitioner-heroin (100-1000 g) ,F ,11 ,3
(a)(14)* ,Delivery by practitioner-heroin (50-‹100 g) ,F ,10 ,3 
(a)(14)* ,Delivery by practitioner-heroin (10-‹50 g) ,F ,8 ,2 
(a)(14)* ,Delivery by practitioner-heroin (1-‹10 g) ,F ,7 ,2 
(a)(14)* ,Delivery by practitioner-heroin (‹1 g) ,F ,6 ,2 
(a)(14)* ,Delivery by practitioner-fentanyl and its derivatives and analogues (›=100 g) ,F ,14 ,3 
(a)(14)* ,Delivery by practitioner-fentanyl and its derivatives and analogues (50-‹100 g) ,F ,13 ,3 
(a)(14)* ,Delivery by practitioner-fentanyl and its derivatives and analogues (10-‹50 g) ,F ,11 ,2 
(a)(14)* ,Delivery by practitioner-fentanyl and its derivatives and analogues (1-‹10 g) ,F ,10 ,2 
(a)(14)* ,Delivery by practitioner-fentanyl and its derivatives and analogues (‹1 g) ,F ,9 ,2 
(a)(14)* ,Delivery by practitioner-other narcotics Sched I & II (›1000 g) ,F ,13 ,3 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (›1000 pills) ",F ,13 ,3 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (100-1000 g) ",F ,11 ,3 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (100-1000 pills) ",F ,11 ,3 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (50-‹100 g) ",F ,10 ,3 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (50-‹100 pills) ",F ,10 ,2 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (10-‹50 g) ",F ,8 ,2 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (10-‹50 pills) ",F ,8 ,2 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (1-‹10 g) ",F ,7 ,2 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (1-‹10 pills) ",F ,7 ,2 
(a)(14)* ,"Delivery by practitioner-other narcotics, Sched I & II (‹1 g) ",F ,6 ,2
(a)(14)* ,Delivery by practitioner-cocaine (›1000 g) ,F ,13 ,3 
(a)(14)* ,Delivery by practitioner-cocaine (100-1000 g) ,F ,11 ,3 
(a)(14)* ,Delivery by practitioner-cocaine (50-‹100 g) ,F ,10 ,3 
(a)(14)* ,Delivery by practitioner-cocaine (10-‹50 g) ,F ,8 ,2
(a)(14)* ,Delivery by practitioner-cocaine (5-‹10 g) ,F ,7 ,2 
(a)(14)* ,Delivery by practitioner-cocaine (2-‹5 g) ,F ,6 ,2 
(a)(14)* ,Delivery by practitioner-cocaine (‹2 g) ,F ,5 ,2 
(a)(14)* ,Delivery by practitioner-methamphetamine (›1000 g) ,F ,13 ,3
(a)(14)* ,Delivery by practitioner-methamphetamine (100-1000 g) ,F ,11 ,3 
(a)(14)* ,Delivery by practitioner-methamphetamine,F ,10 ,3 
,(50-‹100 g) ,,,
(a)(14)* ,Delivery by practitioner-methamphetamine,F ,8 ,2
,(10-‹50 g) ,,,
(a)(14)* ,Delivery by practitioner-methamphetamine (2.5-‹10 g) ,F ,7 ,2 
(a)(14)* ,Delivery by practitioner-methamphetamine,F ,6 ,2 
,(‹2.5 g) ,,,
(a)(14)* ,Delivery by practitioner-PCP (›1000 g) ,F ,13 ,3 
(a)(14)* ,Delivery by practitioner-PCP (100-1000 g) ,F ,11 ,3 
(a)(14)* ,Delivery by practitioner-PCP (50-‹100 g) ,F ,10 ,3 
(a)(14)* ,Delivery by practitioner-PCP (10-‹50 g) ,F ,8 ,2
(a)(14)* ,Delivery by practitioner-PCP (2.5-‹10 g) ,F ,7 ,2 
(a)(14)* ,Delivery by practitioner-PCP (‹2.5 g) ,F ,6 ,2 
(a)(14)* ,Delivery by practitioner-MDMA (›1000 g) ,F ,13 ,3 
(a)(14)* ,Delivery by practitioner-MDMA (100-1000 g) ,F ,11 ,3 
(a)(14)* ,Delivery by practitioner-MDMA (50-‹100 g) ,F ,10 ,3 
(a)(14)* ,Delivery by practitioner-MDMA (10-‹50 g) ,F ,8 ,2
(a)(14)* ,Delivery by practitioner-MDMA (2.5-‹ 10 g) ,F ,7 ,2 
(a)(14)* ,Delivery by practitioner-MDMA (‹2.5 g) ,F ,6 ,2 
(a)(14)* ,Delivery by practitioner-marijuana,F ,10 ,3
,(›1000 lbs.) ,,,
(a)(14)* ,Delivery by practitioner-marijuana,F ,10 ,3 
,(›5000 plants) ,,,
(a)(14)* ,Delivery by practitioner-marijuana,F ,8 ,2 
,(50-1000 lbs.) ,,,
(a)(14)* ,Delivery by practitioner-marijuana,F ,8 ,2 
,(51-5000 plants) ,,,
(a)(14)* ,Delivery by practitioner-marijuana,F ,7 ,2 
,(10-‹50 lbs.) ,,,
(a)(14)* ,Delivery by practitioner-marijuana,F ,7 ,2
,(21-‹51 plants) ,,,
(a)(14)* ,Delivery by practitioner-marijuana (1-‹10 lbs.) ,F ,5 ,2 
(a)(14)* ,Delivery by practitioner-marijuana,F ,5 ,2
,(10-‹21 plants) ,,,
(a)(14)* ,Delivery by practitioner-marijuana (‹1 lb.) ,F ,3 ,2 
(a)(14)* ,Delivery by practitioner-marijuana (‹10,F ,3 ,2 
,plants) ,,,
(a)(14)* ,Delivery by practitioner-Sched I ,F ,5 ,2 
(a)(14)* ,Delivery by practitioner-Sched II ,F ,5 ,2 
(a)(14)* ,Delivery by practitioner-Sched III ,F ,5 ,2 
(a)(14)* ,Delivery by practitioner-Sched IV ,F ,5 ,2 
(a)(14)* ,Delivery by practitioner-Sched V ,M ,3 ,m 
(a)(15) ,Illegal retail sale-controlled substance (1st off) ,M ,4 ,m 
(a)(15) ,Illegal retail sale-controlled substance,M ,4 ,m 
,(2nd/subsq off) ,,,
(a)(16) ,Simple possession (1st off) ,M ,3 ,m 
(a)(16) ,Simple possession (2nd/subsq off) ,M ,3 ,m 
(a)(16) ,Simple possession-GHB (1st off) ,F ,5 ,2 
(a)(16) ,Simple possession-GHB (2nd/sub off) ,F ,5 ,2 
(a)(17) ,Dispense drugs w/o label by practitioner,M ,4 ,m 
,(1st off) ,,,
(a)(17) ,Dispense drugs w/o label by practitioner,M ,4 ,m 
,(2nd/subsq off) ,,,
(a)(18) ,Illegal sale container (1st off) ,M ,4 ,m 
(a)(18) ,Illegal sale container (2nd/subsq off) ,M ,4 ,m
