,index,Date,Temperature,Weather Condition
0,205,2016-02-12,20.53,Mostly Cloudy
1,62,2016-02-17,32.76,Overcast
2,147,2016-03-03,34.11,Partly Cloudy
3,78,2016-04-04,50.96,Light Rain
4,203,2016-04-08,39.39,Overcast
5,201,2016-04-10,32.63,Overcast
6,202,2016-04-12,47.32,Clear
7,204,2016-04-13,48.68,Clear
8,72,2016-04-24,61.07,Clear
9,192,2016-04-28,55.72,Light Rain
10,20,2016-07-02,71.12,Clear
11,48,2016-07-07,75.49,Overcast
12,57,2016-07-09,81.09,Mostly Cloudy
13,53,2016-07-11,82.07,Clear
14,21,2016-07-14,84.1,Partly Cloudy
15,56,2016-07-16,78.5,Partly Cloudy
16,80,2016-07-18,78.84,Mostly Cloudy
17,64,2016-07-20,78.56,Clear
18,65,2016-07-22,76.98,Overcast
19,19,2016-07-25,89.61,Humid and Mostly Cloudy
20,58,2016-07-26,83.7,Clear
21,61,2016-07-29,77.43,Overcast
22,43,2016-08-01,82.15,Mostly Cloudy
23,18,2016-08-02,82.64,Partly Cloudy
24,1,2016-08-03,82.5,Partly Cloudy
25,30,2016-08-04,80.46,Mostly Cloudy
26,2,2016-08-05,82.72,Mostly Cloudy
27,3,2016-08-06,80.12,Overcast
28,7,2016-08-07,80.16,Clear
29,39,2016-08-08,76.72,Clear
30,37,2016-08-09,84.44,Mostly Cloudy
31,38,2016-08-10,86.24,Humid
32,6,2016-08-11,86.65,Humid and Mostly Cloudy
33,12,2016-08-12,85.38,Humid and Mostly Cloudy
34,8,2016-08-13,86.77,Humid and Mostly Cloudy
35,29,2016-08-14,82.09,Humid and Overcast
36,4,2016-08-15,77.94,Drizzle
37,5,2016-08-16,84.5,Humid and Partly Cloudy
38,24,2016-08-17,77,Overcast
39,32,2016-08-18,79.68,Mostly Cloudy
40,42,2016-08-19,81.56,Mostly Cloudy
41,27,2016-08-20,81.36,Humid and Mostly Cloudy
42,10,2016-08-21,75.8,Mostly Cloudy
43,9,2016-08-22,72.73,Mostly Cloudy
44,44,2016-08-23,78.45,Partly Cloudy
45,0,2016-08-24,80.46,Clear
46,45,2016-08-25,81.85,Humid and Overcast
47,34,2016-08-26,83.57,Humid and Mostly Cloudy
48,11,2016-08-27,85.19,Clear
49,26,2016-08-28,86.8,Humid
50,14,2016-08-29,75.44,Overcast
51,15,2016-08-30,80.93,Clear
52,17,2016-08-31,78.68,Mostly Cloudy
53,22,2016-09-01,73.89,Partly Cloudy
54,52,2016-09-02,72.77,Clear
55,40,2016-09-03,74.71,Clear
56,59,2016-09-04,78.41,Clear
57,41,2016-09-05,79.73,Clear
58,33,2016-09-06,82.89,Clear
59,28,2016-09-07,84.41,Humid and Mostly Cloudy
60,54,2016-09-08,85.01,Humid and Partly Cloudy
61,25,2016-09-09,78.28,Overcast
62,51,2016-09-10,85.46,Clear
63,60,2016-09-11,70.31,Mostly Cloudy
64,50,2016-09-12,76.46,Clear
65,13,2016-09-13,80.22,Clear
66,16,2016-09-14,80.63,Clear
67,46,2016-09-15,72.94,Clear
68,47,2016-09-16,77.48,Mostly Cloudy
69,55,2016-09-17,75.79,Mostly Cloudy
70,35,2016-09-18,71.46,Overcast
71,36,2016-09-19,71.83,Overcast
72,49,2016-09-20,79.34,Clear
