,Date,Year,Temperature,Weather Condition
0,2016-02-12,2016,20.53,Mostly Cloudy
1,2016-02-13,2016,12.23,Overcast
2,2016-02-14,2016,17.69,Clear
3,2016-02-15,2016,33.15,Overcast
4,2016-02-16,2016,34.92,Light Snow
5,2016-02-17,2016,32.76,Overcast
6,2016-02-18,2016,30.8,Clear
7,2016-02-19,2016,49.15,Clear
8,2016-02-20,2016,63.73,Clear
9,2016-02-21,2016,51.97,Overcast
10,2016-02-22,2016,46.15,Clear
11,2016-02-23,2016,49.97,Overcast
12,2016-02-24,2016,58.11,Clear
13,2016-02-25,2016,34.95,Overcast
14,2016-02-26,2016,28.26,Overcast
15,2016-02-27,2016,35.58,Overcast
16,2016-02-28,2016,58.89,Clear
17,2016-02-29,2016,40.5,Overcast
18,2016-03-01,2016,59.55,Clear
19,2016-03-02,2016,27.45,Overcast
20,2016-03-03,2016,34.11,Partly Cloudy
21,2016-03-04,2016,34.34,Overcast
22,2016-03-05,2016,39.49,Overcast
23,2016-03-06,2016,38.4,Overcast
24,2016-03-07,2016,62.06,Clear
25,2016-03-08,2016,64.63,Overcast
26,2016-03-09,2016,72.46,Clear
27,2016-03-10,2016,64.13,Overcast
28,2016-03-11,2016,48.63,Overcast
29,2016-03-12,2016,62.12,Overcast
30,2016-03-13,2016,57.02,Mostly Cloudy
31,2016-03-14,2016,65.37,Mostly Cloudy
32,2016-03-15,2016,57.7,Overcast
33,2016-03-16,2016,69.13,Overcast
34,2016-03-17,2016,58.24,Partly Cloudy
35,2016-03-18,2016,56.18,Clear
36,2016-03-19,2016,38.26,Light Snow
37,2016-03-20,2016,36.82,Overcast
38,2016-03-21,2016,39.01,Mostly Cloudy
39,2016-03-22,2016,51.97,Clear
40,2016-03-23,2016,64.61,Clear
41,2016-03-24,2016,69.13,Partly Cloudy
42,2016-03-25,2016,44.01,Overcast
43,2016-03-26,2016,47.05,Clear
44,2016-03-27,2016,68.36,Clear
45,2016-03-28,2016,48.97,Overcast
46,2016-03-29,2016,46.05,Mostly Cloudy
47,2016-03-30,2016,60.18,Clear
48,2016-03-31,2016,66.38,Clear
49,2016-04-01,2016,61.41,Overcast
50,2016-04-02,2016,50.19,Mostly Cloudy
51,2016-04-03,2016,35.15,Clear
52,2016-04-04,2016,50.96,Light Rain
53,2016-04-05,2016,33.16,Partly Cloudy
54,2016-04-06,2016,51.14,Mostly Cloudy
55,2016-04-07,2016,49.05,Overcast
56,2016-04-08,2016,39.39,Overcast
57,2016-04-09,2016,32.13,Flurries
58,2016-04-10,2016,32.63,Overcast
59,2016-04-11,2016,56.08,Drizzle
60,2016-04-12,2016,47.32,Clear
61,2016-04-13,2016,48.68,Clear
62,2016-04-14,2016,60.96,Clear
63,2016-04-15,2016,66.09,Clear
64,2016-04-16,2016,67.35,Clear
65,2016-04-17,2016,74.27,Clear
66,2016-04-18,2016,76,Clear
67,2016-04-19,2016,71.76,Clear
68,2016-04-20,2016,66.72,Clear
69,2016-04-21,2016,70.81,Mostly Cloudy
70,2016-04-22,2016,65.49,Overcast
71,2016-04-23,2016,55.92,Overcast
72,2016-04-24,2016,61.07,Clear
73,2016-04-25,2016,73.67,Clear
74,2016-04-26,2016,68.62,Overcast
75,2016-04-27,2016,56.01,Overcast
76,2016-04-28,2016,55.72,Light Rain
77,2016-04-29,2016,55.58,Overcast
78,2016-04-30,2016,64.79,Clear
79,2016-05-01,2016,66.68,Overcast
80,2016-05-02,2016,69.44,Mostly Cloudy
81,2016-05-03,2016,57.79,Overcast
82,2016-05-04,2016,59.91,Mostly Cloudy
83,2016-05-05,2016,56.79,Overcast
84,2016-05-06,2016,65.06,Partly Cloudy
85,2016-05-07,2016,67.37,Clear
86,2016-05-08,2016,60.71,Clear
87,2016-05-09,2016,55.44,Light Rain
88,2016-05-10,2016,58.73,Light Rain
89,2016-05-11,2016,67.32,Overcast
90,2016-05-12,2016,77.37,Partly Cloudy
91,2016-05-13,2016,66.73,Mostly Cloudy
92,2016-05-14,2016,55.14,Light Rain
93,2016-05-15,2016,48.39,Overcast
94,2016-05-16,2016,57.13,Clear
95,2016-05-17,2016,59.28,Overcast
96,2016-05-18,2016,53.02,Overcast
97,2016-05-19,2016,63.57,Clear
98,2016-05-20,2016,70.62,Clear
99,2016-05-21,2016,58.82,Overcast
100,2016-05-22,2016,59.84,Overcast
101,2016-05-23,2016,68.46,Partly Cloudy
102,2016-05-24,2016,74.52,Clear
103,2016-05-25,2016,79.06,Clear
104,2016-05-26,2016,77.73,Clear
105,2016-05-27,2016,82.3,Clear
106,2016-05-28,2016,83.96,Clear
107,2016-05-29,2016,81.75,Mostly Cloudy
108,2016-05-30,2016,79.52,Clear
109,2016-05-31,2016,82.11,Clear
110,2016-06-01,2016,84.47,Clear
111,2016-06-02,2016,78.85,Mostly Cloudy
112,2016-06-03,2016,77.22,Mostly Cloudy
113,2016-06-04,2016,78.39,Mostly Cloudy
114,2016-06-05,2016,66.74,Rain
115,2016-06-06,2016,77,Mostly Cloudy
116,2016-06-07,2016,72.21,Mostly Cloudy
117,2016-06-08,2016,59.7,Mostly Cloudy
118,2016-06-09,2016,69.04,Clear
119,2016-06-10,2016,75.19,Mostly Cloudy
120,2016-06-11,2016,84.61,Clear
121,2016-06-12,2016,76.19,Clear
122,2016-06-13,2016,69.61,Clear
123,2016-06-14,2016,72.07,Clear
124,2016-06-15,2016,81.99,Partly Cloudy
125,2016-06-16,2016,71.3,Light Rain
126,2016-06-17,2016,72.22,Overcast
127,2016-06-18,2016,82.1,Clear
128,2016-06-19,2016,81.15,Clear
129,2016-06-20,2016,82.5,Clear
130,2016-06-21,2016,78.47,Overcast
131,2016-06-22,2016,76.43,Clear
132,2016-06-23,2016,71.15,Overcast
133,2016-06-24,2016,76.42,Mostly Cloudy
134,2016-06-25,2016,82.92,Clear
135,2016-06-26,2016,84.76,Clear
136,2016-06-27,2016,76.3,Overcast
137,2016-06-28,2016,80.98,Mostly Cloudy
138,2016-06-29,2016,69.33,Mostly Cloudy
139,2016-06-30,2016,75.64,Clear
140,2016-07-01,2016,76.45,Mostly Cloudy
141,2016-07-02,2016,71.12,Clear
142,2016-07-03,2016,73.48,Clear
143,2016-07-04,2016,73.35,Overcast
144,2016-07-05,2016,76.07,Overcast
145,2016-07-06,2016,82.75,Mostly Cloudy
146,2016-07-07,2016,75.49,Overcast
147,2016-07-08,2016,78.23,Overcast
148,2016-07-09,2016,81.09,Mostly Cloudy
149,2016-07-10,2016,75.97,Mostly Cloudy
150,2016-07-11,2016,82.07,Clear
151,2016-07-12,2016,85.79,Clear
152,2016-07-13,2016,80.67,Overcast
153,2016-07-14,2016,84.1,Partly Cloudy
154,2016-07-15,2016,81.53,Clear
155,2016-07-16,2016,78.5,Partly Cloudy
156,2016-07-17,2016,81.69,Mostly Cloudy
157,2016-07-18,2016,78.84,Mostly Cloudy
158,2016-07-19,2016,82.3,Mostly Cloudy
159,2016-07-20,2016,78.56,Clear
160,2016-07-21,2016,84.76,Clear
161,2016-07-22,2016,76.98,Overcast
162,2016-07-23,2016,86.37,Humid and Mostly Cloudy
163,2016-07-24,2016,88.39,Humid and Mostly Cloudy
164,2016-07-25,2016,89.61,Humid and Mostly Cloudy
165,2016-07-26,2016,83.7,Clear
166,2016-07-27,2016,84.33,Clear
167,2016-07-28,2016,73.75,Light Rain
168,2016-07-29,2016,77.43,Overcast
169,2016-07-30,2016,76.37,Drizzle
170,2016-07-31,2016,76.17,Overcast
171,2016-08-01,2016,82.15,Mostly Cloudy
172,2016-08-02,2016,82.64,Partly Cloudy
173,2016-08-03,2016,82.5,Partly Cloudy
174,2016-08-04,2016,80.46,Mostly Cloudy
175,2016-08-05,2016,82.72,Mostly Cloudy
176,2016-08-06,2016,80.12,Overcast
177,2016-08-07,2016,80.16,Clear
178,2016-08-08,2016,76.72,Clear
179,2016-08-09,2016,84.44,Mostly Cloudy
180,2016-08-10,2016,86.24,Humid
181,2016-08-11,2016,86.65,Humid and Mostly Cloudy
182,2016-08-12,2016,85.38,Humid and Mostly Cloudy
183,2016-08-13,2016,86.77,Humid and Mostly Cloudy
184,2016-08-14,2016,82.09,Humid and Overcast
185,2016-08-15,2016,77.94,Drizzle
186,2016-08-16,2016,84.5,Humid and Partly Cloudy
187,2016-08-17,2016,77,Overcast
188,2016-08-18,2016,79.68,Mostly Cloudy
189,2016-08-19,2016,81.56,Mostly Cloudy
190,2016-08-20,2016,81.36,Humid and Mostly Cloudy
191,2016-08-21,2016,75.8,Mostly Cloudy
192,2016-08-22,2016,72.73,Mostly Cloudy
193,2016-08-23,2016,78.45,Partly Cloudy
194,2016-08-24,2016,80.46,Clear
195,2016-08-25,2016,81.85,Humid and Overcast
196,2016-08-26,2016,83.57,Humid and Mostly Cloudy
197,2016-08-27,2016,85.19,Clear
198,2016-08-28,2016,86.8,Humid
199,2016-08-29,2016,75.44,Overcast
200,2016-08-30,2016,80.93,Clear
201,2016-08-31,2016,78.68,Mostly Cloudy
202,2016-09-01,2016,73.89,Partly Cloudy
203,2016-09-02,2016,72.77,Clear
204,2016-09-03,2016,74.71,Clear
205,2016-09-04,2016,78.41,Clear
206,2016-09-05,2016,79.73,Clear
207,2016-09-06,2016,82.89,Clear
208,2016-09-07,2016,84.41,Humid and Mostly Cloudy
209,2016-09-08,2016,85.01,Humid and Partly Cloudy
210,2016-09-09,2016,78.28,Overcast
211,2016-09-10,2016,85.46,Clear
212,2016-09-11,2016,70.31,Mostly Cloudy
213,2016-09-12,2016,76.46,Clear
214,2016-09-13,2016,80.22,Clear
215,2016-09-14,2016,80.63,Clear
216,2016-09-15,2016,72.94,Clear
217,2016-09-16,2016,77.48,Mostly Cloudy
218,2016-09-17,2016,75.79,Mostly Cloudy
