Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
4/1/2014,26163,7395956,40.978,"12,758,196",100337,174,475,67
4/2/2014,24299,7420255,35.54,"12,793,736",100511,118,237,33
4/3/2014,28379,7448634,44.649,"12,838,385",100629,171,596,63
4/4/2014,13593,7462227,17.644,"12,856,030",100800,92,103,10
4/5/2014,20333,7482560,36.797,"12,892,827",100892,127,1221,42
4/6/2014,22643,7505203,45.575,"12,938,402",101019,165,1641,62
4/7/2014,15869,7521072,21.9,"12,960,303",101184,131,159,36
4/8/2014,23636,7544708,34.85,"12,995,153",101315,126,369,44
4/9/2014,29194,7573902,45.619,"13,040,772",101441,201,447,57
4/10/2014,29722,7603624,46.023,"13,086,794",101642,172,525,65
4/11/2014,29283,7632907,49.269,"13,136,064",101814,140,632,83
4/12/2014,29773,7662680,63.649,"13,199,713",101954,175,2710,89
4/13/2014,29521,7692201,65.746,"13,265,459",102129,228,2411,109
4/14/2014,31732,7723933,57.307,"13,322,766",102357,266,993,114
4/15/2014,11370,7735303,14.639,"13,337,404",102623,128,73,19
4/16/2014,21713,7757016,31.427,"13,368,832",102751,132,279,50
4/17/2014,24190,7781206,36.642,"13,405,474",102883,113,470,53
4/18/2014,22409,7803615,33.846,"13,439,319",102996,98,628,60
4/19/2014,26541,7830156,59.461,"13,498,781",103094,118,2666,99
4/20/2014,20122,7850278,40.814,"13,539,595",103212,154,1639,84
4/21/2014,29618,7879896,50.57,"13,590,165",103366,276,839,105
4/22/2014,29580,7909476,45.813,"13,635,978",103642,169,560,58
4/23/2014,29341,7938817,44.266,"13,680,243",103811,173,358,68
4/24/2014,30515,7969332,48.329,"13,728,573",103984,160,646,95
4/25/2014,30299,7999631,49.915,"13,778,488",104144,126,767,56
4/26/2014,21785,8021416,42.759,"13,821,247",104270,118,1720,57
4/27/2014,24093,8045509,46.188,"13,867,436",104388,156,1616,84
4/28/2014,31279,8076788,51.168,"13,918,604",104544,176,744,94
4/29/2014,20003,8096791,26.84,"13,945,444",104720,120,160,24
4/30/2014,3093,8099884,3.572,"13,949,016",104840,63,15,0
5/1/2014,29448,8129332,51.32,"14,000,335",104903,138,780,94
5/2/2014,35590,8164922,60.514,"14,060,849",105041,192,1192,144
5/3/2014,28254,8193176,61.95,"14,122,799",105233,152,2440,150
5/4/2014,23450,8216626,43.926,"14,166,724",105385,159,1479,77
5/5/2014,33706,8250332,58.904,"14,225,628",105544,219,842,127
5/6/2014,35977,8286309,62.455,"14,288,083",105763,197,836,100
5/7/2014,36210,8322519,58.617,"14,346,700",105960,195,799,91
5/8/2014,19518,8342037,28.9,"14,375,600",106155,105,303,20
5/9/2014,24990,8367027,37.118,"14,412,718",106260,111,537,59
5/10/2014,24179,8391206,44.945,"14,457,663",106371,133,1617,74
5/11/2014,31551,8422757,71.587,"14,529,250",106504,161,2768,145
5/12/2014,35209,8457966,61.465,"14,590,714",106665,246,935,124
5/13/2014,36281,8494247,59.204,"14,649,918",106911,204,737,125
5/14/2014,33087,8527334,52.063,"14,701,982",107115,164,586,75
5/15/2014,28847,8556181,45.347,"14,747,329",107279,129,566,76
5/16/2014,19561,8575742,27.664,"14,774,993",107408,114,218,22
5/17/2014,33141,8608883,71.372,"14,846,365",107522,130,2968,141
5/18/2014,30026,8638909,61.977,"14,908,341",107652,154,2476,124
5/19/2014,34763,8673672,56.666,"14,965,008",107806,226,914,124
5/20/2014,38928,8712600,66.578,"15,031,586",108032,194,1145,141
5/21/2014,37493,8750093,61.069,"15,092,655",108226,146,897,115
5/22/2014,26753,8776846,39.65,"15,132,305",108372,121,470,40
5/23/2014,26895,8803741,42.128,"15,174,433",108493,108,793,84
5/24/2014,18503,8822244,35.805,"15,210,238",108601,109,1532,105
5/25/2014,28266,8850510,68.798,"15,279,036",108710,115,3535,144
5/26/2014,29819,8880329,70.712,"15,349,748",108825,169,3095,143
5/27/2014,36165,8916494,63.451,"15,413,199",108994,253,1196,162
5/28/2014,32666,8949160,49.67,"15,462,869",109247,164,533,79
5/29/2014,37184,8986344,60.222,"15,523,091",109411,144,930,108
5/30/2014,37875,9024219,65.24,"15,588,331",109555,167,1191,118
5/31/2014,30659,9054878,61.976,"15,650,307",109722,139,2305,129
6/1/2014,34597,9089475,75.594,"15,725,901",109861,212,2912,168
6/2/2014,38143,9127618,68.186,"15,794,087",110073,277,1099,150
6/3/2014,32504,9160122,52.767,"15,846,854",110350,238,702,119
6/4/2014,39747,9199869,66.953,"15,913,807",110588,170,950,135
6/5/2014,27165,9227034,44.714,"15,958,521",110758,146,692,81
6/6/2014,41291,9268325,72.887,"16,031,408",110904,164,1668,128
6/7/2014,34417,9302742,74.549,"16,105,957",111068,116,2888,165
6/8/2014,33432,9336174,73.196,"16,179,153",111184,162,2704,117
6/9/2014,20545,9356719,32.252,"16,211,405",111346,127,394,43
6/10/2014,36959,9393678,59.916,"16,271,321",111473,167,783,117
6/11/2014,33809,9427487,55.193,"16,326,514",111640,121,691,105
6/12/2014,32186,9459673,49.272,"16,375,786",111761,134,644,78
6/13/2014,20236,9479909,31.146,"16,406,932",111895,106,565,40
6/14/2014,31432,9511341,63.83,"16,470,762",112001,106,2442,129
6/15/2014,31029,9542370,65.14,"16,535,902",112107,142,2397,136
6/16/2014,38568,9580938,66.964,"16,602,866",112249,200,1080,153
6/17/2014,38963,9619901,66.789,"16,669,655",112449,173,978,124
6/18/2014,38984,9658885,64.305,"16,733,960",112622,161,905,139
6/19/2014,35327,9694212,58.66,"16,792,620",112783,113,812,92
6/20/2014,38827,9733039,78.661,"16,871,281",112896,164,1439,117
6/21/2014,33325,9766364,69.714,"16,940,995",113060,94,2951,149
6/22/2014,32300,9798664,65.036,"17,006,031",113154,135,2532,107
6/23/2014,36342,9835006,61.529,"17,067,560",113289,193,1024,167
6/24/2014,39886,9874892,66.604,"17,134,164",113482,173,939,136
6/25/2014,38035,9912927,60.763,"17,194,927",113655,129,868,137
6/26/2014,38610,9951537,63.768,"17,258,695",113784,121,1051,109
6/27/2014,39697,9991234,70.902,"17,329,597",113905,115,1573,147
6/28/2014,31684,10022918,65.075,"17,394,672",114020,122,2679,125
6/29/2014,30784,10053702,64.706,"17,459,378",114142,118,2450,125
6/30/2014,36854,10090556,61.917,"17,521,295",114260,174,1044,120
